"SQGDP2 Gross domestic product (GDP) by state 1/"
"(Millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2018:Q1","2018:Q2","2018:Q3","2018:Q4"
"10000","Delaware","64","      Management of companies and enterprises",1659.7,1658.9,1893.8,1632.2
"10000","Delaware","65","      Administrative and support and waste management and remediation services",1798.4,1856.9,1877.7,1976.0
"10000","Delaware","69","      Educational services",439.3,452.1,457.0,456.1
"10000","Delaware","70","      Health care and social assistance",5554.6,5528.6,5614.4,5663.5
"10000","Delaware","76","      Arts, entertainment, and recreation",380.1,407.9,405.8,404.3
"10000","Delaware","79","      Accommodation and food services",1623.0,1653.4,1684.3,1708.8
"10000","Delaware","82","      Other services (except government and government enterprises)",1006.0,1022.4,1034.3,1046.8
"10000","Delaware","83","  Government and government enterprises",7012.3,6995.4,7275.2,7334.8
"11000","District of Columbia","1","All industry total",138469.2,139579.6,141968.8,142626.2
"11000","District of Columbia","2","  Private industries",92843.4,93537.2,95292.9,95728.4
"11000","District of Columbia","3","      Agriculture, forestry, fishing and hunting",1.3,1.3,1.6,1.7
"11000","District of Columbia","6","      Mining, quarrying, and oil and gas extraction",0.0,0.0,0.0,0.0
"11000","District of Columbia","10","      Utilities",1535.4,1467.6,1617.8,1415.8
"11000","District of Columbia","11","      Construction",1646.4,1646.5,1642.6,1643.8
"11000","District of Columbia","12","      Manufacturing",305.2,314.3,333.3,321.3
"11000","District of Columbia","13","          Durable goods manufacturing",151.9,156.2,162.7,160.6
"11000","District of Columbia","25","          Nondurable goods manufacturing",153.3,158.1,170.6,160.6
"11000","District of Columbia","34","      Wholesale trade",1204.7,1173.6,1236.8,1264.5
"11000","District of Columbia","35","      Retail trade",1677.6,1644.3,1655.9,1643.9
"11000","District of Columbia","36","      Transportation and warehousing",439.4,465.5,465.8,468.6
"11000","District of Columbia","45","      Information",7291.5,7532.7,7783.3,8031.1
"11000","District of Columbia","51","      Finance and insurance",5785.2,5818.7,6110.0,5899.1
"11000","District of Columbia","56","      Real estate and rental and leasing",12281.0,12493.4,12500.4,12611.8
"11000","District of Columbia","60","      Professional, scientific, and technical services",29170.9,29116.4,29823.3,30097.3
"11000","District of Columbia","64","      Management of companies and enterprises",824.9,814.2,917.6,828.1
"11000","District of Columbia","65","      Administrative and support and waste management and remediation services",3450.7,3452.8,3608.5,3515.0
"11000","District of Columbia","69","      Educational services",4779.1,4735.6,4794.6,4849.7
"11000","District of Columbia","70","      Health care and social assistance",6492.9,6626.5,6592.6,6785.7
"11000","District of Columbia","76","      Arts, entertainment, and recreation",1371.6,1535.8,1374.5,1377.8
"11000","District of Columbia","79","      Accommodation and food services",4751.3,4827.1,4835.0,4852.5
"11000","District of Columbia","82","      Other services (except government and government enterprises)",9834.2,9870.8,9999.2,10120.5
"11000","District of Columbia","83","  Government and government enterprises",45625.8,46042.5,46675.8,46897.7
"12000","Florida","1","All industry total",1020176.9,1032277.4,1048477.6,1056013.7
"12000","Florida","2","  Private industries",907569.1,919640.9,933872.0,940922.1
"12000","Florida","3","      Agriculture, forestry, fishing and hunting",5395.7,5695.2,5542.6,5512.6
"12000","Florida","6","      Mining, quarrying, and oil and gas extraction",1604.1,1755.5,1714.1,1639.0
"12000","Florida","10","      Utilities",18736.0,18531.0,17989.7,18314.3
"12000","Florida","11","      Construction",54210.5,54384.7,55896.4,56063.5
"12000","Florida","12","      Manufacturing",54453.0,55770.7,56905.1,57618.8
"12000","Florida","13","          Durable goods manufacturing",33404.2,34051.4,34955.9,35545.8
"12000","Florida","25","          Nondurable goods manufacturing",21048.8,21719.3,21949.2,22073.0
"12000","Florida","34","      Wholesale trade",69102.3,70315.0,70712.8,73198.6
"12000","Florida","35","      Retail trade",73085.2,74112.0,74383.3,74369.4
"12000","Florida","36","      Transportation and warehousing",34361.0,35054.2,35697.2,36386.6
"12000","Florida","45","      Information",41229.3,41839.7,41998.0,41466.3
"12000","Florida","51","      Finance and insurance",64839.1,65833.4,68150.8,66815.0
"12000","Florida","56","      Real estate and rental and leasing",169146.9,171693.3,173765.7,175509.3
"12000","Florida","60","      Professional, scientific, and technical services",74485.7,76176.5,77567.1,78249.7
"12000","Florida","64","      Management of companies and enterprises",16943.5,16266.2,16606.6,16833.2
"12000","Florida","65","      Administrative and support and waste management and remediation services",42382.8,42719.3,43899.5,44356.6
"12000","Florida","69","      Educational services",10412.6,10416.3,10650.1,10784.8
"12000","Florida","70","      Health care and social assistance",88056.6,88684.7,90075.2,90995.5
"12000","Florida","76","      Arts, entertainment, and recreation",16389.0,16864.4,17276.9,17317.3
"12000","Florida","79","      Accommodation and food services",45943.3,46395.4,47240.1,47489.2
"12000","Florida","82","      Other services (except government and government enterprises)",26792.5,27133.6,27800.7,28002.4
"12000","Florida","83","  Government and government enterprises",112607.8,112636.5,114605.6,115091.6
"13000","Georgia","1","All industry total",579993.0,588339.7,597746.2,602534.6
"13000","Georgia","2","  Private industries",512143.1,519829.6,528471.5,533060.6
"13000","Georgia","3","      Agriculture, forestry, fishing and hunting",3975.8,4088.0,3858.5,4063.8
